AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Phase,Natural,Metal,Nonmetal,Metalloid,Type,Discoverer,Year
1,Hydrogen,H,1.007,0,1,1,gas,yes,,yes,,Nonmetal,Cavendish,1766
2,Helium,He,4.002,2,2,2,gas,yes,,yes,,Noble Gas,Janssen,1868
3,Lithium,Li,6.941,4,3,3,solid,yes,yes,,,Alkali Metal,Arfvedson,1817
4,Beryllium,Be,9.012,5,4,4,solid,yes,yes,,,Alkaline Earth Metal,Vaulquelin,1798
5,Boron,B,10.811,6,5,5,solid,yes,,,yes,Metalloid,Gay-Lussac,1808
6,Carbon,C,12.011,6,6,6,solid,yes,,yes,,Nonmetal,Prehistoric,
7,Nitrogen,N,14.007,7,7,7,gas,yes,,yes,,Nonmetal,Rutherford,1772
8,Oxygen,O,15.999,8,8,8,gas,yes,,yes,,Nonmetal,Priestley/Scheele,1774
9,Fluorine,F,18.998,10,9,9,gas,yes,,yes,,Halogen,Moissan,1886
10,Neon,Ne,20.18,10,10,10,gas,yes,,yes,,Noble Gas,Ramsay and Travers,1898
11,Sodium,Na,22.99,12,11,11,solid,yes,yes,,,Alkali Metal,Davy,1807
12,Magnesium,Mg,24.305,12,12,12,solid,yes,yes,,,Alkaline Earth Metal,Black,1755
13,Aluminum,Al,26.982,14,13,13,solid,yes,yes,,,Metal,Wshler,1827
14,Silicon,Si,28.086,14,14,14,solid,yes,,,yes,Metalloid,Berzelius,1824
15,Phosphorus,P,30.974,16,15,15,solid,yes,,yes,,Nonmetal,BranBrand,1669
16,Sulfur,S,32.065,16,16,16,solid,yes,,yes,,Nonmetal,Prehistoric,
17,Chlorine,Cl,35.453,18,17,17,gas,yes,,yes,,Halogen,Scheele,1774
18,Argon,Ar,39.948,22,18,18,gas,yes,,yes,,Noble Gas,Rayleigh and Ramsay,1894
19,Potassium,K,39.098,20,19,19,solid,yes,yes,,,Alkali Metal,Davy,1807
20,Calcium,Ca,40.078,20,20,20,solid,yes,yes,,,Alkaline Earth Metal,Davy,1808
21,Scandium,Sc,44.956,24,21,21,solid,yes,yes,,,Transition Metal,Nilson,1878
22,Titanium,Ti,47.867,26,22,22,solid,yes,yes,,,Transition Metal,Gregor,1791
23,Vanadium,V,50.942,28,23,23,solid,yes,yes,,,Transition Metal,   del Rio,1801
24,Chromium,Cr,51.996,28,24,24,solid,yes,yes,,,Transition Metal,Vauquelin,1797
25,Manganese,Mn,54.938,30,25,25,solid,yes,yes,,,Transition Metal,"Gahn, Scheele",1774
26,Iron,Fe,55.845,30,26,26,solid,yes,yes,,,Transition Metal,Prehistoric,
27,Cobalt,Co,58.933,32,27,27,solid,yes,yes,,,Transition Metal,Brandt,1735
28,Nickel,Ni,58.693,31,28,28,solid,yes,yes,,,Transition Metal,Cronstedt,1751
29,Copper,Cu,63.546,35,29,29,solid,yes,yes,,,Transition Metal,Prehistoric,
30,Zinc,Zn,65.38,35,30,30,solid,yes,yes,,,Transition Metal,Prehistoric,
31,Gallium,Ga,69.723,39,31,31,solid,yes,yes,,,Metal,de Boisbaudran,1875
32,Germanium,Ge,72.64,41,32,32,solid,yes,,,yes,Metalloid,Winkler,1886
33,Arsenic,As,74.922,42,33,33,solid,yes,,,yes,Metalloid,Albertus Magnus,1250
34,Selenium,Se,78.96,45,34,34,solid,yes,,yes,,Nonmetal,Berzelius,1817
35,Bromine,Br,79.904,45,35,35,liq,yes,,yes,,Halogen,Balard,1826
36,Krypton,Kr,83.798,48,36,36,gas,yes,,yes,,Noble Gas,Ramsay and Travers,1898
37,Rubidium,Rb,85.468,48,37,37,solid,yes,yes,,,Alkali Metal,Bunsen and Kirchoff,1861
